trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
along,137,0.000312099,2,,enjoy,2.84E-05,3,2
police,140,0.000318933,2,,minister,1.89E-05,2,3
nations,131,0.000298431,2,,disaster,1.89E-05,2,3
unemployment,112,0.000255147,4,,god,5.68E-05,6,1
highly,145,0.000330324,2,,affordable,1.21E-03,128,4
possible,131,0.000298431,3,,california,6.63E-05,7,4
obamacare,87,0.000198194,4,,failed,1.71E-04,18,1
statement,119,0.000271093,3,,quickly,2.84E-05,3,2
lot,116,0.000264259,1,,information,3.79E-05,4,4
via,126,0.00028704,1,,matter,4.07E-04,43,2
talk,123,0.000280206,1,,truly,5.68E-05,6,2
approval,145,0.000330324,3,,retweet,1.27E-03,134,2
thousands,129,0.000293874,2,,wisconsin,0.000123147,13,3
secretary,128,0.000291596,4,,conference,8.53E-05,9,3
part,105,0.0002392,1,,able,3.69E-04,39,2
team,109,0.000248313,1,,told,0.000142093,15,1
given,136,0.000309821,2,,lower,0.000369441,39,2
actually,130,0.000296153,3,,large,1.89E-05,2,1
fired,96,0.000218697,1,,obamas,1.12E-03,118,3
longer,112,0.000255147,2,,zero,3.79E-05,4,2
victory,124,0.000282484,3,,higher,4.93E-04,52,2
service,114,0.000259703,2,,happening,0.000265239,28,3
ballots,140,0.000318933,2,,move,0.000530479,56,1
name,47,0.000107071,1,,used,0.000123147,13,1
scam,140,0.000318933,1,,worse,2.84E-05,3,1
reason,113,0.000257425,2,,prime,1.89E-05,2,1
heading,132,0.000300709,2,,asked,1.80E-04,19,1
progress,81,0.000184526,2,,gone,5.68E-05,6,1
hit,130,0.000296153,1,,south,2.84E-05,3,1
less,85,0.000193638,1,,signed,3.69E-04,39,1
anyone,120,0.000273372,2,,education,0.001079903,114,4
ask,86,0.000195916,1,,immediately,2.84E-05,3,5
raise,61,0.000138964,1,,become,1.42E-04,15,2
enjoy,134,0.000305265,2,,decision,0.000170511,18,3
minister,135,0.000307543,3,,finally,0.000151565,16,3
disaster,135,0.000307543,3,,drug,5.68E-05,6,1
